eps,min_samples,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,min_cluster_size,max_cluster_size
6.868678825705528,10,3,0.16666666666666666,0.2189298560462928,0.41458333333333336,10,417
7.719433112355942,10,2,0.08680555555555555,0.21690069675778528,0.2908745247148289,10,516
6.86195036784142,15,2,0.1892361111111111,0.21430193997198654,0.4025695931477516,52,415
6.9178948232929445,5,4,0.140625,0.21378467333954385,0.4262626262626263,7,420
5.438478444063586,5,13,0.3003472222222222,0.21321789920708373,0.7096774193548387,6,204
8.209725001167568,10,2,0.06770833333333333,0.2110830249860484,0.2849162011173184,10,527
8.959088782478382,10,2,0.050347222222222224,0.20543934976955874,0.2797074954296161,10,537
9.077042283891366,5,3,0.012152777777777778,0.18349313973982148,0.27943760984182775,6,553
7.426291743852675,5,4,0.08159722222222222,0.17923214018735548,0.31001890359168244,5,507
8.085803377587201,5,5,0.03819444444444445,0.16445047354297843,0.3104693140794224,5,525
8.391331966010762,5,5,0.03125,0.16403329934802924,0.3100358422939068,5,528
6.094381249694218,5,6,0.22569444444444445,0.15371279504518748,0.5134529147982063,6,342
6.167627225804752,10,4,0.2604166666666667,0.15170671603422234,0.5070422535211268,15,338
10.905580808892811,15,1,0.001736111111111111,,0.25043478260869567,575,575
11.279878559256055,20,1,0.001736111111111111,,0.25043478260869567,575,575
10.186816557419217,10,1,0.008680555555555556,,0.2521891418563923,571,571
10.6376209932031,20,1,0.008680555555555556,,0.2521891418563923,571,571
10.384953119467555,15,1,0.013888888888888888,,0.2535211267605634,568,568
10.123185365140326,20,1,0.026041666666666668,,0.25668449197860965,561,561
9.589061663867671,10,1,0.027777777777777776,,0.2571428571428571,560,560
9.789727392495653,15,1,0.036458333333333336,,0.2594594594594595,555,555
9.169108156287171,20,1,0.06944444444444445,,0.2667910447761194,536,536
8.854075784536931,15,1,0.078125,,0.2693032015065913,531,531
8.549049342774389,20,1,0.08506944444444445,,0.2713472485768501,527,527
8.256014901432376,15,1,0.09027777777777778,,0.2729007633587786,524,524
7.811161895017271,20,1,0.1076388888888889,,0.2782101167315175,514,514
7.413554215571102,15,1,0.13194444444444445,,0.282,500,500
7.309198995861127,20,1,0.14756944444444445,,0.2830957230142566,491,491
