eps,min_samples,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,min_cluster_size,max_cluster_size
8.820398632865842,20,2,0.05179398148148148,0.25771516212488527,0.26640219713152274,17,3260
7.49854737166887,20,2,0.13917824074074073,0.17500539501017398,0.2984873949579832,56,2919
8.276330652793092,20,2,0.0763888888888889,0.17082487185902315,0.2857142857142857,60,3132
6.540529586713379,15,4,0.2337962962962963,0.16166646617130556,0.4059667673716012,30,2341
8.563167140488488,15,3,0.05758101851851852,0.1554888782972045,0.28707399447344184,21,3176
8.028513190090553,15,3,0.07899305555555555,0.1516610333531869,0.2915488532830663,22,3101
7.704381995318678,10,3,0.09346064814814815,0.14513737365052534,0.2955633578040217,22,3051
6.882241109611966,10,4,0.1736111111111111,0.14268589045895147,0.3165266106442577,16,2756
6.160942144597345,10,6,0.2572337962962963,0.140715633502422,0.4152707440592131,11,2247
7.236618371509394,15,3,0.1579861111111111,0.136203076402892,0.3099656357388316,31,2825
6.826812894332042,20,3,0.21383101851851852,0.12406579403086888,0.3157894736842105,30,2644
8.217975048029395,10,4,0.059895833333333336,0.11983640608227597,0.2917820867959372,10,3157
8.859160075899922,5,5,0.016203703703703703,0.09191944425478166,0.2585294117647059,5,3379
8.268008208320753,5,7,0.025752314814814815,0.0622458334931312,0.28155628155628154,4,3277
5.523620848356641,5,19,0.31539351851851855,0.054105662670672745,0.48774302620456467,4,1426
6.2077681216039675,5,13,0.2065972222222222,0.047602872557596036,0.41830780452224653,5,2355
7.451893465158411,5,11,0.07523148148148148,0.03590230036195035,0.3069461827284105,5,3062
7.996605222316605,5,10,0.037905092592592594,0.005262356174332984,0.3001503759398496,5,3185
6.991159197265131,5,16,0.1171875,-0.02380452281425469,0.3267781055391675,4,2874
10.41694755913815,20,1,0.0028935185185185184,,0.2507254788160186,3446,3446
10.152091384755266,15,1,0.004918981481481482,,0.2512358243675487,3439,3439
9.800839590776004,10,1,0.009259259259259259,,0.2514602803738318,3424,3424
9.829635931517455,20,1,0.015335648148148149,,0.25301204819277107,3403,3403
9.509990175802097,15,1,0.019386574074074073,,0.2537621717320744,3389,3389
9.173696613721646,10,1,0.02228009259259259,,0.25421722403077834,3379,3379
9.521941256875483,20,1,0.02488425925925926,,0.2551928783382789,3370,3370
9.18018908915396,15,1,0.03125,,0.2565710872162485,3348,3348
8.82526349242313,10,1,0.033275462962962965,,0.25680933852140075,3341,3341
