eps,min_samples,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,min_cluster_size,max_cluster_size
7.950728210319869,10,2,0.1579861111111111,0.21916116319440898,0.30515463917525776,10,475
7.7761798414026755,15,2,0.2065972222222222,0.20639572664857578,0.4113785557986871,54,403
8.768153099484035,10,2,0.0954861111111111,0.2011458032649586,0.29366602687140114,10,511
9.277263984317877,10,2,0.07118055555555555,0.19373763469150165,0.28598130841121494,10,525
9.920085217445912,10,2,0.05381944444444445,0.18915881227476306,0.28073394495412846,10,535
7.945405429246287,5,3,0.13194444444444445,0.17928141229412647,0.31,7,483
10.000702523494663,5,4,0.017361111111111112,0.17546165419645599,0.2968197879858657,6,541
7.092225209482717,5,5,0.2204861111111111,0.17324809319157852,0.4766146993318486,6,363
8.553639197332204,5,4,0.08680555555555555,0.1690943001472354,0.311787072243346,5,504
9.009998357589193,5,4,0.059027777777777776,0.16131720936971278,0.3044280442804428,5,520
9.371633623678017,5,4,0.04513888888888889,0.15803788087998255,0.3018181818181818,6,527
7.185824522162435,10,3,0.2725694444444444,0.1536891520286816,0.45584725536992843,16,356
6.38181649793687,5,12,0.3072916666666667,0.12558312697890384,0.6115288220551378,5,241
11.820629885697226,15,1,0.001736111111111111,,0.25043478260869567,575,575
12.180923100623072,20,1,0.001736111111111111,,0.25043478260869567,575,575
11.228828075980992,10,1,0.008680555555555556,,0.2521891418563923,571,571
11.524233716298147,20,1,0.008680555555555556,,0.2521891418563923,571,571
11.210087008575435,15,1,0.019097222222222224,,0.25486725663716814,565,565
11.15029712602336,20,1,0.027777777777777776,,0.2571428571428571,560,560
10.526954774392312,10,1,0.029513888888888888,,0.25760286225402507,559,559
10.704458501269468,15,1,0.041666666666666664,,0.2608695652173913,552,552
10.17007471562432,20,1,0.06944444444444445,,0.2667910447761194,536,536
9.816652762779531,15,1,0.07465277777777778,,0.2682926829268293,533,533
9.685680554341147,20,1,0.08506944444444445,,0.2713472485768501,527,527
9.44114785516034,15,1,0.09027777777777778,,0.2729007633587786,524,524
8.819442594858238,20,1,0.12152777777777778,,0.28063241106719367,506,506
8.458394629304337,15,1,0.1371527777777778,,0.2837022132796781,497,497
8.16621984777006,20,1,0.17881944444444445,,0.2917547568710359,473,473
