eps,min_samples,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,min_cluster_size,max_cluster_size
7.575582390041731,15,2,0.05844907407407408,0.25970384552150777,0.26828518746158575,20,3234
6.570300045231757,20,2,0.14380787037037038,0.2117700790332945,0.29807367353835756,54,2905
6.7753435701884825,10,3,0.09895833333333333,0.1890701247505354,0.2960822093770071,21,3033
7.25202987403028,10,3,0.06597222222222222,0.18460843848330064,0.273543990086741,10,3197
7.0927186454219,15,3,0.08680555555555555,0.16384039718497698,0.29404309252217997,22,3074
5.337260413567275,10,5,0.2604166666666667,0.16192679154144685,0.40923317683881066,12,2251
5.655716402109595,15,4,0.2337962962962963,0.1570768541060434,0.4052114803625378,30,2340
5.957842754124393,10,4,0.17939814814814814,0.12682946906251444,0.3159379407616361,16,2736
5.897312688413114,20,3,0.21469907407407407,0.11906767807914118,0.3154016212232867,30,2636
6.324419404550222,15,4,0.15480324074074073,0.11081846979959381,0.31324888736733997,15,2823
4.750917597579977,5,17,0.30960648148148145,0.10661165538670013,0.4463537300922045,5,1544
7.86012781361192,5,7,0.009837962962962963,0.05794880519902421,0.26008182349503217,5,3391
7.3489955464219,5,5,0.02922453703703704,0.035561245194650565,0.26199701937406855,4,3334
7.026916825709627,5,9,0.04195601851851852,0.026715034832520537,0.30262760495318636,5,3167
6.087157663205436,5,11,0.12413194444444445,0.008409364020646614,0.32309217046580774,5,2874
5.37670176462467,5,13,0.21296296296296297,0.005053892719770587,0.42169117647058824,5,2332
6.514486154648851,5,12,0.078125,-0.003880291484616109,0.30634023854362835,5,3049
9.37678586457756,20,1,0.004340277777777778,,0.25050857308921826,3441,3441
9.143045902271727,15,1,0.005787037037037037,,0.25058207217694994,3436,3436
8.743918836012865,10,1,0.009548611111111112,,0.2512416009348525,3423,3423
8.783907458718256,20,1,0.013310185185185185,,0.25219941348973607,3410,3410
8.478199265041559,15,1,0.016493055555555556,,0.25301559282141806,3399,3399
8.492562481624304,20,1,0.019965277777777776,,0.25391201653380574,3387,3387
8.10165653757162,10,1,0.023726851851851853,,0.25459395376407823,3374,3374
8.196095846323807,15,1,0.026331018518518517,,0.2552748885586924,3365,3365
7.831513369881497,10,1,0.03414351851851852,,0.2573397243858598,3338,3338
7.7804927669993535,20,1,0.05439814814814815,,0.2616279069767442,3268,3268
7.331568593733074,20,1,0.08101851851851852,,0.26731738035264485,3176,3176
