variant,min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,k_distance
raw,15.0,0.08,0.03,4.0,0.8142361111111112,0.4297589615021636,1.0,0.0
optimized,20.0,0.05,0.03,4.0,0.7569444444444444,0.5577678075632383,0.9928571428571429,0.0
