Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0
SVM (RBF),0.9930555555555556,0.9932432432432433,0.9930555555555556,0.99305421570519
KNN,0.9861111111111112,0.986842105263158,0.9861111111111112,0.9862009897221166
Decision Tree,0.9513888888888888,0.9524540517961572,0.9513888888888888,0.9516585247219049
Naïve Bayes,0.8263888888888888,0.8609767891682787,0.8263888888888888,0.8214712297465725
