cluster,german,italian,korean,spanish
-1,0.4,0.2,0.1,0.3
0,0.2587800369685767,0.21626617375231053,0.2643253234750462,0.26062846580406657
1,0.0,1.0,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
