variant,min_samples,xi,min_cluster_size,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,k_distance
raw,5.0,0.03,0.03,2.0,0.9247685185185185,0.4869122992248144,1.0,2.0
optimized,5.0,0.03,0.03,2.0,0.8842592592592593,0.47037500269976706,0.4125,2.0
