k,inertia,silhouette
2,44269.3769941776,0.17368691499816608
3,39478.6493272081,0.15709417676098367
4,35114.893115604806,0.19383090712682602
5,33021.81108526017,0.1875802772720364
6,31297.218396427023,0.17237495416509352
7,30066.741373967103,0.18022806690609752
8,29514.276844226137,0.1536860844455359
9,29424.322866303548,0.12317198132886438
