k,inertia,silhouette
2,37763.430366821165,0.1746840894561531
3,33405.3893750863,0.20626185798579122
4,30440.899072422944,0.2147975036878214
5,29718.992829850118,0.1712122548872096
6,27123.297584404834,0.16856056042926246
7,26310.567125412723,0.15726313935602299
8,24306.625248621793,0.17003916851940135
9,23271.966663115847,0.18440653945929253
