k,inertia,silhouette
2,220276.70828476275,0.15438223588462005
3,196841.21234531095,0.1547990685564854
4,181603.69407180062,0.15830188899500933
5,169230.67281488836,0.1355370864716587
6,165459.4812136822,0.12869924388524775
7,157652.65136997128,0.13078685598357812
8,153256.43574056914,0.12090236416513776
9,149476.25420914136,0.11730671393703264
