variant,eps,min_samples,n_clusters,noise_ratio,silhouette_excl_noise,purity_excl_noise,min_cluster_size,max_cluster_size,k_distance
raw,6.540529586713379,15.0,4.0,0.2337962962962963,0.16166646617130556,0.4059667673716012,30.0,2341.0,0.0
optimized,5.655716402109595,15.0,4.0,0.2337962962962963,0.1570768541060434,0.4052114803625378,30.0,2340.0,0.0
