k,inertia,silhouette
2,249768.31173497468,0.1372971384365139
3,226288.31054901163,0.13736611793952305
4,214786.64507815416,0.13556854766693527
5,199338.4034983978,0.14597766888081493
6,190598.59577965617,0.11369194740507138
7,185377.34774978174,0.11639506068829769
8,181924.95111961092,0.11170269056168304
9,178990.50208749867,0.09190611566391041
